video_title,channel,link
Mister Al Meets Philippe Rochard - Go And Get Her (Hard Mix),WilliamRobert27,https://www.youtube.com/watch?v=1VlpOVkKJ08&list=LL4qfihPte8I5oE-bua9Px3w&index=2&t=0s
Connan Mockasin - B'nD,Sound Station Strategy,https://www.youtube.com/watch?v=QkF16QZkF-E&list=LL4qfihPte8I5oE-bua9Px3w&index=3&t=0s
Simulant - Access Future Audio (Mix),John Marchant,https://www.youtube.com/watch?v=V8sK0QHMqmU&list=LL4qfihPte8I5oE-bua9Px3w&index=4&t=0s
Avalon Emerson - Church of SoMa,Spring Theory Records,https://www.youtube.com/watch?v=QDf6Wl51rgs&list=LL4qfihPte8I5oE-bua9Px3w&index=5&t=0s
Harmonize - Mediterranean Moods (Trance 1993),GERMSGEMS,https://www.youtube.com/watch?v=v04scMMiRSo&list=LL4qfihPte8I5oE-bua9Px3w&index=6&t=0s
Avalon Emerson - Quoi!,Ongo Gablogian,https://www.youtube.com/watch?v=QZ5hlGfN4_I&list=LL4qfihPte8I5oE-bua9Px3w&index=7&t=0s
Silicon Scally - Vector Dominance,ninauploadz,https://www.youtube.com/watch?v=qzl6ycY-vWI&list=LL4qfihPte8I5oE-bua9Px3w&index=8&t=0s
Fred 4 - Do It From The Back,dannydaze,https://www.youtube.com/watch?v=sgp8nqMm5lo&list=LL4qfihPte8I5oE-bua9Px3w&index=9&t=0s
Perspects - Desire & Efficiency,dannydaze,https://www.youtube.com/watch?v=3RSonawEzJU&list=LL4qfihPte8I5oE-bua9Px3w&index=10&t=0s
Bryan Never - Blue Doctors,dannydaze,https://www.youtube.com/watch?v=V5IMVBh2U74&list=LL4qfihPte8I5oE-bua9Px3w&index=11&t=0s
Michael Forshaw - Work That Body,dannydaze,https://www.youtube.com/watch?v=IDce85m7ABE&list=LL4qfihPte8I5oE-bua9Px3w&index=12&t=0s
Simulant - Musical Box (Simm City E.P.),chriszanf,https://www.youtube.com/watch?v=C4cHquFt0vg&list=LL4qfihPte8I5oE-bua9Px3w&index=13&t=0s
Two Lone Swordsmen - Sticky,dannydaze,https://www.youtube.com/watch?v=StvGH1eWHDY&list=LL4qfihPte8I5oE-bua9Px3w&index=14&t=0s
Transllusion - Moment 2 (Clone Aqualung 012),CloneRotterdam,https://www.youtube.com/watch?v=E4FvoZuw_Xo&list=LL4qfihPte8I5oE-bua9Px3w&index=15&t=0s
